CAPA high-level description,CAPAs granulated description,Level,Practice area
Develop a rough order of magnitude estimate,Develop a rough order of magnitude estimate,Level 1,ESTIMATING
Develop and keep updated the scope of what is being estimated.,Develop and keep updated the scope of what is being estimated.,Level 2,
Develop and keep updated estimates for the size of the solution.,Use applicable methods to estimate the size and complexity of solutions and tasks.,,
"Based on size estimates, derive effort, duration, and cost estimates for the solution.","Collect and use historical data to develop, calibrate, or recalibrate models or methods to transform size and complexity into effort, duration, and cost estimates.",,
,Include estimates of supporting infrastructure needs.,,
Record rationale for the estimates.,Record rationale for the estimates.,,
Develop and keep updated a recorded estimation method.,Determine the acceptable estimation methods.,Level 3,
,Calibrate and adjust method based on actual results.,,
,Validate method.,,
Use the organizational measurement repository and process assets for estimating work.,Use organizational assets and measures for estimation.,,
,Use estimation methods.,,
,Contribute results and measures to the organization in order to improve the estimation methods.,,
,Analyze organizational data.,,
Develop a list of tasks.,Develop task list.,Level 1,PLANNING
,Review task list with affected stakeholders.,,
,Revise list as needed.,,
Assign people to tasks,Assign a responsible individual for each task.,,
,Assign any additional people to the task.,,
,Review assignments with the assigned individuals.,,
,Record assignments in task list.,,
Develop and keep updated the approach for accomplishing the work.,Identify the objectives of the work.,Level 2,
,Identify the approach to be used to achieve objectives.,,
,Identify requirements.,,
,Record business considerations.,,
,Define and record the work lifecycle.,,
,Identify major resource needs and constraints.,,
,Identify stakeholders.,,
,Record agreements with stakeholders.,,
,Identify risks.,,
,Identify safety and security approaches.,,
,Review the work approach with affected stakeholders and obtain agreement.,,
,Revise the approach as necessary.,,
Plan for the knowledge and skills needed to perform the work.,Identify the knowledge and skills needed to perform the work.,,
,Determine the gaps between the knowledge and skills needed versus those held by the current assigned people.,,
,Select methods for providing needed knowledge and skills.,,
,Incorporate selected methods into the work plan.,,
"Based on recorded estimates, develop and keep updated the budget and schedule.",Identify major milestones.,,
,Identify schedule assumptions.,,
,Identify constraints.,,
,Identify task dependencies.,,
,Identify resources.,,
,Identify and analyze risks.,,
,"Based on estimates, develop, and keep updated the budget and schedule.",,
,Establish corrective action criteria.,,
Plan the involvement of identified stakeholders.,Develop list of stakeholders.,,
,Identify involvement of each stakeholder.,,
,Record when the involvement is required.,,
Plan transition to operations and support.,Determine transition scope and objectives.,,
,Determine transition requirements and criteria.,,
,Determine approach to transition.,,
,Develop schedule for transition.,,
,Determine transition responsibilities and resources including post-transition support.,,
,Determine operations and support training needs.,,
Ensure plans are feasible by reconciling available and estimated resources.,Perform resource leveling to adjust scheduling of tasks and resources.,,
,Ensure commitments are supported by adequate personnel or other required resources.,,
,Negotiate commitments with affected stakeholders.,,
"Develop the work plan, ensure consistency among its elements, and keep it updated.",Record the work plan.,,
,Review the work plan with affected stakeholders and get agreement.,,
,Revise the work plan as necessary.,,
Review plans and obtain commitments from affected stakeholders.,Ensure individuals are involved in reviewing the work they are responsible for and the inputs that initiate the work.,,
,Record commitments.,,
,Review and approve work commitments.,,
Develop and keep updated the defined work process by using the organization’s set of standard processes and tailoring guidelines.,Select standard processes from the organization’s set of standard processes that best fit the needs of the work.,Level 3,
,Modify the organization’s set of standard processes and other organizational process assets according to tailoring guidelines to produce the work’s defined process.,,
,Use other artifacts from the organization’s process asset library as appropriate.,,
,Record the work’s defined process.,,
,Review the defined process.,,
,Revise the work’s defined process as necessary.,,
"Plan work using the defined work process, the organization’s process assets, and the measurement repository.",Use the tasks and work products of the work’s defined process as a basis for estimating and planning work activities.,,
,Use the organization’s measurement repository to estimate the work.,,
,Integrate or develop plans.,,
,Incorporate the definitions of measures and measurement activities.,,
,Establish objective entry and exit criteria for tasks and activities.,,
,Identify how conflicts will be resolved that arise among affected stakeholders.,,
Identify and negotiate critical dependencies.,Identify each critical dependency.,,
,Review and negotiate dependencies with affected stakeholders.,,
,Record commitments to address each critical dependency.,,
Develop and keep updated the work environment based on the organization’s standards.,Plan a work environment.,,
,"Assign a responsible individual to plan to acquire resources, facilities, and the environment needed to perform assigned work.",,
,"Develop a contingency plan if the resources, facilities, and environment cannot be obtained.",,
,Plan for support personnel needs.,,
,"Ensure individuals and groups participate in decisions concerning resources, facilities, and environment.",,
