Suggested CAPA,Type,CMMI Category
use high order language unless low-level language is necessary for storage and timing efficiency.,Preventive,Technical Solution
use 'top-down' hierarchical approach with parallel refinement of requirements and sub-functions.,Preventive,Technical Solution
use specified control structures with no statement labels,Preventive,Technical Solution
maximum of 100 executable statements per routine allowed,Preventive,Technical Solution
formal and informal presentation of design and code by responsible person,Preventive,Validation
review by checklist of standard topics and by sources of most common errors,Preventive,Validation
force agreement on requirements,Enhancement,Requirements Management
formal control of all changes,Enhancement,Requirements Management
"enforce inspection methodology. full documentation, adequate time, space, preparation, eductation, control of inspection, analyze errors to cause, corrective action follow-up, 100% coverage, don't combine inspections, set re-inspection criteria.",Enhancement,Validation
"analyze errors, determine 'where caused', update test libraries, improve inspections.",Enhancement,Validation
re-do the current activities (or some of the activities) with more experienced staff,Corrective,Technical Solution
"if the inadequately performed activity was a specification or design activity, extend the related activities, perhaps with more experienced staff.",Corrective,Technical Solution
extend the timescales for subsequent specification and design activities.,Corrective,Technical Solution
use more experienced staff for subsequent specification and design activities.,Corrective,Technical Solution
extend the timescales for subsequent testing and debugging activities.,Corrective,Technical Solution
intensify the testing criteria for subsequent testing activities.,Corrective,Technical Solution
use more experienced staff for subsequent testing activities.,Corrective,Technical Solution
replan project and re-estimate targets.,Corrective,Requirements Management
"if the scope of the project has been underestimated, obtain more experienced staff.",Corrective,Requirements Management
"if the scope has been overestimated, release experienced staff to other projects.",Corrective,Requirements Management
stop current work and revert to activities of preceding stage.,Corrective,Project Planning
"extend activities of previous stage into current stage, replanning effort and work assignment.",Corrective,Project Planning
extend timescales for testing and debugging current stage because of anticipated additional latent faults from previous stage.,Corrective,Project Planning
redesign the module into smaller components.,Corrective,Product Integration
extend the timescales for testing the module.,Corrective,Product Integration
"intensify the testing criteria for the module (for example increase the code, branch and lcsaj coverage requirements for the module).",Corrective,Product Integration
use more experienced staff to continue the construction and testing of the module.,Corrective,Product Integration
active participation of project system engineers who know the origin of requirements interpretations,Preventive,Requirements Developments
check the interpretations of imprecisely defined terms,Preventive,Requirements Management
audit the system for 'requirements embellishment',Preventive,Requirements Management
look for over-generalization in downward allocation of derived requirements,Preventive,Requirements Developments
remind the developer with or automate the process so that the developer cannot overlook detail using techniques such as checklists and common error lists.,Preventive,Technical Solution
use cross-reference and product-logic documentation available in line to remind the developer with requirements so that the developer cannot overlook detail.,Preventive,Technical Solution
"use tools that add automatic checks, such as compilers and post-compile module checkers.",Preventive,Technical Solution
use templates or skeletons that guide the creation of a work product.,Preventive,Technical Solution
use permanent reminders and warnings in product documentation.,Preventive,Technical Solution
"use reminders in the form of newsletters, memoranda, and reminder notes.",Preventive,Technical Solution
hold work sessions with peers to review and check one another's work,Preventive,Technical Solution
"if schedule pressure is the cause of oversights, management should adjust their planning rates to allow more time in the schedule to do the work properly",Preventive,Technical Solution
provide the appropriate level of education at the right time by delivering seminars and classes related to the product,Preventive,Organizational Training
prepare a new-hire education checklist,Preventive,Organizational Training
prepare tutorial articles in the product-area newsletters,Preventive,Organizational Training
conduct education sessions on the new release functions,Preventive,Organizational Training
liaison to receive communications from other areas where the product has dependencies and to pass on the information to others in the product area,Preventive,Integrated Project Management
use of a conference disk to pass information to interested parties in a product area,Preventive,Integrated Project Management
enhanced problem-tracking tool to include automatic notification of changes to affected parties,Preventive,Integrated Project Management
use code spelling checker to automate an error-prone procedure,Preventive,Validation
use tools that maintain a release's component list and automatically include it in the design and specification documents and in the build process,Preventive,Validation
use variable-not-declared warning in the compiler to check for names that have been misspelled,Preventive,Validation
